"Dataframe_id"	"Subject_id"	"Activity"	" timeBodyAcc-mean()-X"	" timeBodyAcc-mean()-Y"	" timeBodyAcc-mean()-Z"	" timeGravityAcc-mean()-X"	" timeGravityAcc-mean()-Y"	" timeGravityAcc-mean()-Z"	" timeBodyAccJerk-mean()-X"	" timeBodyAccJerk-mean()-Y"	" timeBodyAccJerk-mean()-Z"	" timeBodyGyro-mean()-X"	" timeBodyGyro-mean()-Y"	" timeBodyGyro-mean()-Z"	" timeBodyGyroJerk-mean()-X"	" timeBodyGyroJerk-mean()-Y"	" timeBodyGyroJerk-mean()-Z"	" timeBodyAccMag-mean()"	" timeGravityAccMag-mean()"	" timeBodyAccJerkMag-mean()"	" timeBodyGyroMag-mean()"	" timeBodyGyroJerkMag-mean()"	" freqBodyAcc-mean()-X"	" freqBodyAcc-mean()-Y"	" freqBodyAcc-mean()-Z"	" freqBodyAccJerk-mean()-X"	" freqBodyAccJerk-mean()-Y"	" freqBodyAccJerk-mean()-Z"	" freqBodyGyro-mean()-X"	" freqBodyGyro-mean()-Y"	" freqBodyGyro-mean()-Z"	" freqBodyAccMag-mean()"	" freqBodyBodyAccJerkMag-mean()"	" freqBodyBodyGyroMag-mean()"	" freqBodyBodyGyroJerkMag-mean()"	" timeBodyAcc-std()-X"	" timeBodyAcc-std()-Y"	" timeBodyAcc-std()-Z"	" timeGravityAcc-std()-X"	" timeGravityAcc-std()-Y"	" timeGravityAcc-std()-Z"	" timeBodyAccJerk-std()-X"	" timeBodyAccJerk-std()-Y"	" timeBodyAccJerk-std()-Z"	" timeBodyGyro-std()-X"	" timeBodyGyro-std()-Y"	" timeBodyGyro-std()-Z"	" timeBodyGyroJerk-std()-X"	" timeBodyGyroJerk-std()-Y"	" timeBodyGyroJerk-std()-Z"	" timeBodyAccMag-std()"	" timeGravityAccMag-std()"	" timeBodyAccJerkMag-std()"	" timeBodyGyroMag-std()"	" timeBodyGyroJerkMag-std()"	" freqBodyAcc-std()-X"	" freqBodyAcc-std()-Y"	" freqBodyAcc-std()-Z"	" freqBodyAccJerk-std()-X"	" freqBodyAccJerk-std()-Y"	" freqBodyAccJerk-std()-Z"	" freqBodyGyro-std()-X"	" freqBodyGyro-std()-Y"	" freqBodyGyro-std()-Z"	" freqBodyAccMag-std()"	" freqBodyBodyAccJerkMag-std()"	" freqBodyBodyGyroMag-std()"	" freqBodyBodyGyroJerkMag-std()"
1	2	"laying"	"2.8137e-01"	"-1.8159e-02"	"-1.0725e-01"	"-5.0975e-01"	"7.5254e-01"	"6.4683e-01"	"8.2597e-02"	"1.2255e-02"	"-1.8026e-03"	"-1.8477e-02"	"-1.1180e-01"	"1.4488e-01"	"-1.0197e-01"	"-3.5859e-02"	"-7.0178e-02"	"-9.7744e-01"	"-9.7744e-01"	"-9.8774e-01"	"-9.5001e-01"	"-9.9177e-01"	"-9.7673e-01"	"-9.7980e-01"	"-9.8438e-01"	"-9.8581e-01"	"-9.8277e-01"	"-9.8620e-01"	"-9.8643e-01"	"-9.8332e-01"	"-9.6267e-01"	"-9.7511e-01"	"-9.8537e-01"	"-9.7211e-01"	"-9.9025e-01"	"-9.7406e-01"	"-9.8028e-01"	"-9.8423e-01"	"-9.5901e-01"	"-9.8821e-01"	"-9.8423e-01"	"-9.8587e-01"	"-9.8317e-01"	"-9.8844e-01"	"-9.8828e-01"	"-9.8229e-01"	"-9.6031e-01"	"-9.9324e-01"	"-9.8957e-01"	"-9.8804e-01"	"-9.7287e-01"	"-9.7287e-01"	"-9.8552e-01"	"-9.6116e-01"	"-9.8972e-01"	"-9.7325e-01"	"-9.8103e-01"	"-9.8479e-01"	"-9.8725e-01"	"-9.8499e-01"	"-9.8935e-01"	"-9.8886e-01"	"-9.8191e-01"	"-9.6317e-01"	"-9.7512e-01"	"-9.8457e-01"	"-9.6110e-01"	"-9.8949e-01"
1	2	"sitting"	"2.7709e-01"	"-1.5688e-02"	"-1.0922e-01"	"9.4048e-01"	"-1.0563e-01"	"1.9873e-01"	"7.2256e-02"	"1.1695e-02"	"7.6055e-03"	"-4.5471e-02"	"-5.9929e-02"	"4.1228e-02"	"-9.3633e-02"	"-4.1560e-02"	"-4.3585e-02"	"-9.6789e-01"	"-9.6789e-01"	"-9.8677e-01"	"-9.4604e-01"	"-9.9108e-01"	"-9.8580e-01"	"-9.5734e-01"	"-9.7016e-01"	"-9.8785e-01"	"-9.7714e-01"	"-9.8513e-01"	"-9.8262e-01"	"-9.8210e-01"	"-9.5981e-01"	"-9.6127e-01"	"-9.8387e-01"	"-9.7184e-01"	"-9.8986e-01"	"-9.8682e-01"	"-9.5070e-01"	"-9.5983e-01"	"-9.7999e-01"	"-9.5675e-01"	"-9.5442e-01"	"-9.8806e-01"	"-9.7798e-01"	"-9.8752e-01"	"-9.8574e-01"	"-9.7892e-01"	"-9.5980e-01"	"-9.8971e-01"	"-9.9089e-01"	"-9.8554e-01"	"-9.5308e-01"	"-9.5308e-01"	"-9.8448e-01"	"-9.6131e-01"	"-9.8959e-01"	"-9.8736e-01"	"-9.5007e-01"	"-9.5686e-01"	"-9.8946e-01"	"-9.8080e-01"	"-9.8857e-01"	"-9.8681e-01"	"-9.7736e-01"	"-9.6352e-01"	"-9.5558e-01"	"-9.8412e-01"	"-9.6139e-01"	"-9.8963e-01"
1	2	"standing"	"2.7791e-01"	"-1.8421e-02"	"-1.0591e-01"	"8.9693e-01"	"-3.7006e-01"	"1.2975e-01"	"7.4759e-02"	"1.0329e-02"	"-8.3716e-03"	"-2.3862e-02"	"-8.2040e-02"	"8.7835e-02"	"-1.0556e-01"	"-4.2242e-02"	"-5.4654e-02"	"-9.6588e-01"	"-9.6588e-01"	"-9.8049e-01"	"-9.6347e-01"	"-9.8395e-01"	"-9.8395e-01"	"-9.5987e-01"	"-9.6247e-01"	"-9.8097e-01"	"-9.7085e-01"	"-9.7978e-01"	"-9.6704e-01"	"-9.7258e-01"	"-9.6063e-01"	"-9.6405e-01"	"-9.7707e-01"	"-9.6178e-01"	"-9.7785e-01"	"-9.8727e-01"	"-9.5730e-01"	"-9.4974e-01"	"-9.8669e-01"	"-9.7419e-01"	"-9.4593e-01"	"-9.8109e-01"	"-9.7106e-01"	"-9.8284e-01"	"-9.7300e-01"	"-9.7144e-01"	"-9.6486e-01"	"-9.7932e-01"	"-9.8345e-01"	"-9.7361e-01"	"-9.5787e-01"	"-9.5787e-01"	"-9.7668e-01"	"-9.5394e-01"	"-9.7720e-01"	"-9.8906e-01"	"-9.5791e-01"	"-9.4643e-01"	"-9.8301e-01"	"-9.7352e-01"	"-9.8460e-01"	"-9.7499e-01"	"-9.7104e-01"	"-9.6975e-01"	"-9.6052e-01"	"-9.7516e-01"	"-9.5679e-01"	"-9.7775e-01"
1	2	"walking"	"2.7643e-01"	"-1.8595e-02"	"-1.0550e-01"	"9.1302e-01"	"-3.4661e-01"	"8.4727e-02"	"6.1808e-02"	"1.8249e-02"	"7.8953e-03"	"-5.3026e-02"	"-4.8238e-02"	"8.2834e-02"	"-8.1883e-02"	"-5.3830e-02"	"-5.1494e-02"	"-2.9041e-01"	"-2.9041e-01"	"-2.8142e-01"	"-4.4655e-01"	"-5.4791e-01"	"-3.4605e-01"	"-2.1905e-02"	"-4.5381e-01"	"-3.0462e-01"	"-7.8764e-02"	"-5.5496e-01"	"-4.2971e-01"	"-5.5477e-01"	"-3.9666e-01"	"-3.2429e-01"	"-1.6906e-01"	"-5.3070e-01"	"-5.8325e-01"	"-4.2364e-01"	"-7.8091e-02"	"-4.2526e-01"	"-9.7269e-01"	"-9.7212e-01"	"-9.7207e-01"	"-2.7753e-01"	"-1.6602e-02"	"-5.8609e-01"	"-5.6155e-01"	"-5.3845e-01"	"-4.8109e-01"	"-3.8955e-01"	"-6.3414e-01"	"-4.3549e-01"	"-4.2254e-01"	"-4.2254e-01"	"-1.6415e-01"	"-5.5302e-01"	"-5.5780e-01"	"-4.5765e-01"	"-1.6922e-01"	"-4.5522e-01"	"-3.1431e-01"	"-1.5333e-02"	"-6.1590e-01"	"-6.0405e-01"	"-5.3305e-01"	"-5.5986e-01"	"-5.7711e-01"	"-1.6409e-01"	"-6.5179e-01"	"-5.5810e-01"
1	2	"walking_downst."	"2.7762e-01"	"-2.2661e-02"	"-1.1681e-01"	"8.6183e-01"	"-3.2578e-01"	"-4.3889e-02"	"1.1004e-01"	"-3.2796e-03"	"-2.0935e-02"	"-1.1595e-01"	"-4.8233e-03"	"9.7174e-02"	"-5.8104e-02"	"-4.2147e-02"	"-7.1023e-02"	"8.9951e-02"	"8.9951e-02"	"5.6552e-03"	"-1.6219e-01"	"-4.1087e-01"	"1.1284e-01"	"2.7835e-01"	"-1.3129e-01"	"1.3812e-01"	"9.6209e-02"	"-2.7150e-01"	"-1.4578e-01"	"-3.6191e-01"	"-8.7494e-02"	"2.9342e-01"	"2.2225e-01"	"-3.2084e-01"	"-3.8018e-01"	"4.6367e-02"	"2.6288e-01"	"-1.0284e-01"	"-9.4036e-01"	"-9.4007e-01"	"-9.3144e-01"	"1.4725e-01"	"1.2683e-01"	"-3.4012e-01"	"-3.2079e-01"	"-4.1574e-01"	"-2.7942e-01"	"-2.4394e-01"	"-4.6940e-01"	"-2.1827e-01"	"2.1559e-01"	"2.1559e-01"	"2.2962e-01"	"-2.7484e-01"	"-3.4319e-01"	"1.6105e-02"	"1.7197e-01"	"-1.6203e-01"	"4.9959e-02"	"8.0833e-02"	"-4.0823e-01"	"-3.7944e-01"	"-4.5873e-01"	"-4.2299e-01"	"-2.1479e-02"	"2.2748e-01"	"-3.7258e-01"	"-3.4370e-01"
1	2	"walking_upst."	"2.4716e-01"	"-2.1412e-02"	"-1.5251e-01"	"7.9072e-01"	"-4.1621e-01"	"-1.9589e-01"	"7.4451e-02"	"-9.7099e-03"	"1.9481e-02"	"-5.7691e-02"	"-3.2088e-02"	"6.8837e-02"	"-8.2886e-02"	"-4.2405e-02"	"-4.4516e-02"	"-1.0732e-01"	"-1.0732e-01"	"-3.2127e-01"	"-2.1971e-01"	"-5.7282e-01"	"-2.6672e-01"	"9.9245e-03"	"-2.8100e-01"	"-2.5864e-01"	"-1.8784e-01"	"-5.2273e-01"	"-3.3164e-01"	"-4.8809e-01"	"-2.4860e-01"	"-1.4532e-01"	"-1.8951e-01"	"-4.5061e-01"	"-6.0080e-01"	"-3.0438e-01"	"1.0803e-01"	"-1.1212e-01"	"-9.3441e-01"	"-9.2377e-01"	"-8.7800e-01"	"-2.7612e-01"	"-1.8565e-01"	"-5.7375e-01"	"-4.3925e-01"	"-4.6630e-01"	"-1.6400e-01"	"-4.6485e-01"	"-6.4549e-01"	"-4.6760e-01"	"-2.0598e-01"	"-2.0598e-01"	"-2.1739e-01"	"-3.7753e-01"	"-5.9729e-01"	"-3.2058e-01"	"8.4880e-02"	"-9.4545e-02"	"-3.6542e-01"	"-2.4355e-01"	"-6.2509e-01"	"-4.7636e-01"	"-4.5976e-01"	"-2.1807e-01"	"-3.6673e-01"	"-2.6042e-01"	"-4.3862e-01"	"-6.2182e-01"
1	4	"laying"	"2.6356e-01"	"-1.5003e-02"	"-1.1069e-01"	"-4.2066e-01"	"9.1517e-01"	"3.4153e-01"	"9.3449e-02"	"6.9331e-03"	"-6.4105e-03"	"-9.2316e-03"	"-9.3013e-02"	"1.6972e-01"	"-1.0502e-01"	"-3.8123e-02"	"-7.1216e-02"	"-9.5456e-01"	"-9.5456e-01"	"-9.7010e-01"	"-9.3024e-01"	"-9.8507e-01"	"-9.5880e-01"	"-9.3888e-01"	"-9.6750e-01"	"-9.7854e-01"	"-9.4397e-01"	"-9.7538e-01"	"-9.6720e-01"	"-9.7219e-01"	"-9.6148e-01"	"-9.3939e-01"	"-9.6229e-01"	"-9.6156e-01"	"-9.8361e-01"	"-9.5419e-01"	"-9.4171e-01"	"-9.6267e-01"	"-9.2120e-01"	"-9.6982e-01"	"-9.7618e-01"	"-9.7830e-01"	"-9.4221e-01"	"-9.7851e-01"	"-9.7310e-01"	"-9.6111e-01"	"-9.6207e-01"	"-9.7510e-01"	"-9.8686e-01"	"-9.8397e-01"	"-9.3129e-01"	"-9.3129e-01"	"-9.6079e-01"	"-9.4703e-01"	"-9.8270e-01"	"-9.5246e-01"	"-9.4638e-01"	"-9.6215e-01"	"-9.8008e-01"	"-9.4437e-01"	"-9.8026e-01"	"-9.7509e-01"	"-9.5618e-01"	"-9.6581e-01"	"-9.3719e-01"	"-9.5804e-01"	"-9.4710e-01"	"-9.8254e-01"
1	4	"sitting"	"2.7154e-01"	"-7.1631e-03"	"-1.0587e-01"	"8.6930e-01"	"2.1162e-01"	"1.1012e-01"	"7.8450e-02"	"-1.0858e-02"	"-1.2150e-02"	"-4.9444e-02"	"-8.9430e-02"	"1.0115e-01"	"-9.6949e-02"	"-4.1848e-02"	"-4.8996e-02"	"-9.3569e-01"	"-9.3569e-01"	"-9.7013e-01"	"-9.2606e-01"	"-9.8049e-01"	"-9.7746e-01"	"-9.0578e-01"	"-9.5178e-01"	"-9.7685e-01"	"-9.4430e-01"	"-9.7515e-01"	"-9.6059e-01"	"-9.6758e-01"	"-9.3378e-01"	"-9.2900e-01"	"-9.6250e-01"	"-9.4877e-01"	"-9.7655e-01"	"-9.8031e-01"	"-8.9022e-01"	"-9.3220e-01"	"-9.8141e-01"	"-9.3273e-01"	"-9.5095e-01"	"-9.7674e-01"	"-9.4460e-01"	"-9.7904e-01"	"-9.7013e-01"	"-9.5847e-01"	"-9.2797e-01"	"-9.6990e-01"	"-9.8444e-01"	"-9.6880e-01"	"-9.1441e-01"	"-9.1441e-01"	"-9.6255e-01"	"-9.2890e-01"	"-9.7581e-01"	"-9.8191e-01"	"-8.8947e-01"	"-9.2700e-01"	"-9.7878e-01"	"-9.4929e-01"	"-9.8170e-01"	"-9.7333e-01"	"-9.5412e-01"	"-9.3287e-01"	"-9.1982e-01"	"-9.6158e-01"	"-9.2885e-01"	"-9.7626e-01"
1	4	"standing"	"2.8050e-01"	"-9.4891e-03"	"-9.6157e-02"	"9.5620e-01"	"-7.5901e-02"	"1.6689e-01"	"7.2133e-02"	"-6.5302e-03"	"-2.1189e-02"	"-3.0645e-02"	"-6.1825e-02"	"7.5564e-02"	"-1.0306e-01"	"-4.6126e-02"	"-4.9075e-02"	"-9.0648e-01"	"-9.0648e-01"	"-9.6337e-01"	"-9.0098e-01"	"-9.6761e-01"	"-9.7350e-01"	"-8.8955e-01"	"-9.3164e-01"	"-9.7231e-01"	"-9.3762e-01"	"-9.6865e-01"	"-9.0546e-01"	"-9.5599e-01"	"-9.1528e-01"	"-9.1761e-01"	"-9.5614e-01"	"-9.1421e-01"	"-9.6447e-01"	"-9.7692e-01"	"-8.6160e-01"	"-8.9688e-01"	"-9.7291e-01"	"-9.1761e-01"	"-8.9940e-01"	"-9.7259e-01"	"-9.3835e-01"	"-9.7305e-01"	"-9.0969e-01"	"-9.4923e-01"	"-9.1000e-01"	"-9.4963e-01"	"-9.7607e-01"	"-9.5798e-01"	"-8.9098e-01"	"-8.9098e-01"	"-9.5816e-01"	"-8.8514e-01"	"-9.6428e-01"	"-9.7874e-01"	"-8.5738e-01"	"-8.8755e-01"	"-9.7571e-01"	"-9.4408e-01"	"-9.7623e-01"	"-9.1246e-01"	"-9.4583e-01"	"-9.1665e-01"	"-8.9534e-01"	"-9.6003e-01"	"-8.8719e-01"	"-9.6643e-01"
1	4	"walking"	"2.7858e-01"	"-1.4840e-02"	"-1.1140e-01"	"9.6400e-01"	"-8.5854e-02"	"1.2776e-01"	"7.8353e-02"	"2.9560e-03"	"-7.6768e-04"	"-3.1798e-02"	"-7.2691e-02"	"8.0568e-02"	"-1.1532e-01"	"-3.9347e-02"	"-5.5117e-02"	"-3.1205e-01"	"-3.1205e-01"	"-3.6670e-01"	"-4.9779e-01"	"-6.8130e-01"	"-4.2672e-01"	"-1.4940e-01"	"-6.3101e-01"	"-3.5888e-01"	"-2.7955e-01"	"-7.2899e-01"	"-3.7338e-01"	"-6.8846e-01"	"-6.0138e-01"	"-4.5080e-01"	"-3.1859e-01"	"-6.0929e-01"	"-7.2433e-01"	"-4.4083e-01"	"-7.8827e-02"	"-5.8625e-01"	"-9.8383e-01"	"-9.6796e-01"	"-9.6297e-01"	"-2.9704e-01"	"-2.2117e-01"	"-7.5139e-01"	"-5.0092e-01"	"-6.6539e-01"	"-6.6261e-01"	"-4.9234e-01"	"-8.0742e-01"	"-6.4045e-01"	"-5.2768e-01"	"-5.2768e-01"	"-3.1692e-01"	"-5.5312e-01"	"-7.3015e-01"	"-4.4723e-01"	"-1.0180e-01"	"-5.9420e-01"	"-2.9733e-01"	"-2.0990e-01"	"-7.7236e-01"	"-5.4265e-01"	"-6.5466e-01"	"-7.1646e-01"	"-6.5117e-01"	"-3.2046e-01"	"-5.9394e-01"	"-7.5777e-01"
